Функ. програм.,Парал. выч.,Многопоточ.,Итоговая оценка
4,4,4,4
0,0,0,2
4,0,4,4
4,3,4,4
0,3,0,2
5,4,5,5
5,5,5,5
5,5,5,5
5,4,4,4
4,3,5,5
4,3,5,5
0,4,4,4
5,5,5,5
4,4,4,4
4,3,5,5
4,3,4,4
0,0,0,2
4,4,4,4
4,3,4,4
5,3,5,5
5,4,5,5
5,4,5,5
5,0,5,5
5,4,5,5
0,3,4,4
4,3,5,5
5,5,5,5
0,0,0,2
5,4,5,5
4,3,5,5
5,4,5,5
4,0,4,4
4,4,5,5
5,4,5,5
0,0,3,3
4,0,4,4
5,5,5,5
5,0,5,5
5,4,5,5
5,0,5,5
5,0,5,5
4,4,4,4
4,4,4,4
4,4,4,4
0,0,4,4
5,4,5,5
4,0,5,5
4,3,5,5
5,4,4,4
5,4,5,5
4,0,4,4
5,4,5,5
5,0,0,2
4,4,4,4
5,5,5,5
4,4,4,4
4,3,4,4
5,5,5,5
5,4,4,4
0,0,0,2
5,4,5,5
4,4,4,4
5,0,4,4
4,4,4,4
5,5,5,5
5,5,5,5
5,4,4,4
5,4,5,5
5,5,5,5
5,0,0,2
4,4,4,4
4,0,4,4
4,0,5,5
4,3,5,5
5,4,5,5
4,0,4,4
5,4,5,5
5,4,5,5
4,3,4,4
5,4,5,5
5,4,5,5
4,0,5,5
5,5,5,5
4,0,0,2